PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
11425797,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.011627906976744186,1,0.2
17073150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,11,0.0
17941914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
25221936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4
12741556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,6,0.5
11242449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4,0.375
20721564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,2,0.0
25855820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7315290,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,9,0.42857142857142855
26397954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
10837303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
32192176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333
28194267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,1,0.0
16537962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15294117647058825,13,0.0
22085741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,2,0.3333333333333333
14599042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035211267605633804,5,0.0
25651488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
19841193,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.015151515151515152,1,0.0
30785913,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1415929203539823,16,0.375
20850762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,2,0.5
12499346,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7272727272727273,8,0.0
25527660,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
15636165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1774193548387097,11,0.0
22131550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14457831325301204,12,0.0
29958393,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.21666666666666667,13,0.0
21695057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.375
11236727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,6,0.6153846153846154
3103547,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19607843137254902,10,0.5
20679197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,4,0.25
23271066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
6502376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,10,0.0
18519456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
10481820,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,16,0.5
16325533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2716049382716049,22,0.375
3735009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,3,0.16666666666666666
30643289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
6846220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,1,0.0
2239784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,10,0.0
17915960,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05555555555555555,3,0.16666666666666666
17311985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,4,0.4666666666666667
21126862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,5,0.4
8154907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
22514647,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.05154639175257732,5,0.0
31109612,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20588235294117646,7,0.7142857142857143
16537962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15294117647058825,13,0.0
22974824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,1,0.5
31589250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1,0.5
18947973,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
16306212,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.012345679012345678,1,0.0
29978378,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.20833333333333334,5,0.0
32167634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0
17852471,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1875,9,0.0
17443195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333
14657823,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.041666666666666664,1,0.0
10489525,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06779661016949153,4,0.5
10631803,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.26,13,0.4444444444444444
25348673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0.2
219681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,18,0.0
20372777,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09090909090909091,7,0.0
22641754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
17661565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1,0.0
15298564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32293945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
29549961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,8,0.25
3966414,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.14285714285714285,8,0.6
29353262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
20008425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,2,0.0
27298082,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2625,21,0.09090909090909091
23892749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06542056074766354,7,0.5
17556680,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.30985915492957744,22,0.0
27830423,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2087912087912088,19,0.0
9398752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,2,0.25
32401302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5
30988385,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.11627906976744186,15,0.1
19807706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4
12911694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
30818777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2
22973420,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2,0.0
32283198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12162162162162163,9,0.25
31581741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
29470421,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.5
22513036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03296703296703297,3,0.6666666666666666
7277107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,1,0.0
22128211,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,16,0.7272727272727273
30247884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13333333333333333,8,0.3333333333333333
12496220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
32443751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,6,0.2
7058078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,12,0.375
23178060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7142857142857143
